trial,strategy,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,repair_swaps
8,leader,0.25,1.0,0.9905020352781547,0,21,1.0,0.3,
8,ranked_pairs,1.0,1.0,0.7869742198100407,0,471,0.8,0.1386411889596603,
8,rp_unconstrained,1.0,1.0,0.7869742198100407,0,471,0.8,0.1386411889596603,0.0
9,lww,1.0,1.0,0.7552724077328646,19,538,1.0,0.08276481149012567,
9,vc,1.0,0.5416666666666667,0.6489455184534271,0,799,1.0,0.08598247809762202,
9,crdt_pure,1.0,0.5416666666666666,0.7693321616871704,0,525,1.0,0.1281904761904762,
9,crdt_lww,1.0,1.0,0.7552724077328646,19,538,1.0,0.08276481149012567,
9,leader,0.3333333333333333,1.0,0.9775922671353251,0,51,1.0,0.3156862745098039,
9,ranked_pairs,1.0,1.0,0.8084358523725834,0,436,1.0,0.22201834862385322,
9,rp_unconstrained,1.0,1.0,0.8084358523725834,0,436,1.0,0.22201834862385322,0.0
10,lww,1.0,1.0,0.6868982838007535,25,723,0.8333333333333334,0.15026737967914439,
10,vc,1.0,0.5833333333333333,0.6437840100460444,0,851,0.6666666666666666,0.12115158636897767,
10,crdt_pure,1.0,0.5833333333333334,0.7580577647551276,0,578,0.8333333333333334,0.14982698961937715,
10,crdt_lww,1.0,1.0,0.6868982838007535,25,723,0.8333333333333334,0.15026737967914439,
10,leader,0.375,1.0,0.9631645039765593,0,88,1.0,0.21363636363636362,
10,ranked_pairs,1.0,1.0,0.7936375052323148,0,493,0.8333333333333334,0.181947261663286,
10,rp_unconstrained,1.0,1.0,0.7936375052323148,0,493,0.8333333333333334,0.181947261663286,0.0
11,lww,1.0,1.0,0.6760386067981536,8,764,0.8,0.08367875647668394,
11,vc,1.0,0.5416666666666667,0.6609315988250105,0,808,1.0,0.16064356435643565,
11,crdt_pure,1.0,0.5416666666666666,0.7352077213596306,0,631,0.8,0.10221870047543581,
11,crdt_lww,1.0,1.0,0.6760386067981536,8,764,0.8,0.08367875647668394,
11,leader,0.375,1.0,0.975660931598825,0,58,1.0,0.3413793103448276,
11,ranked_pairs,1.0,1.0,0.7889215274863617,0,503,1.0,0.21053677932405568,
11,rp_unconstrained,1.0,1.0,0.7889215274863617,0,503,1.0,0.21053677932405568,0.0
12,lww,1.0,1.0,0.679253665037761,17,705,0.8571428571428571,0.09445983379501385,
12,vc,1.0,0.45833333333333337,0.6952465570857397,0,686,1.0,0.08746355685131195,
12,crdt_pure,1.0,0.4583333333333333,0.7685473123056419,0,521,0.8571428571428571,0.13416506717850288,
12,crdt_lww,1.0,1.0,0.679253665037761,17,705,0.8571428571428571,0.09445983379501385,
12,leader,0.375,1.0,0.9506885828520657,0,111,1.0,0.33603603603603605,
12,ranked_pairs,1.0,1.0,0.7920924033762772,0,468,1.0,0.12222222222222222,
12,rp_unconstrained,1.0,1.0,0.7920924033762772,0,468,1.0,0.12222222222222222,0.0
13,lww,1.0,1.0,0.6653658536585365,15,671,0.8,0.14052478134110788,
13,vc,1.0,0.5416666666666667,0.5809756097560976,0,859,0.6,0.12374854481955763,
13,crdt_pure,1.0,0.5416666666666666,0.6917073170731707,0,632,0.8,0.16772151898734178,
13,crdt_lww,1.0,1.0,0.6653658536585365,15,671,0.8,0.14052478134110788,
13,leader,0.375,1.0,0.9492682926829268,0,104,1.0,0.3,
13,ranked_pairs,1.0,1.0,0.7497560975609756,0,513,0.8,0.22007797270955165,
13,rp_unconstrained,1.0,1.0,0.7497560975609756,0,513,0.8,0.22007797270955165,0.0
14,lww,1.0,1.0,0.6404023470243085,37,821,1.0,0.07062937062937064,
14,vc,1.0,0.8333333333333334,0.6248952221290863,0,895,1.0,0.11541899441340782,
14,crdt_pure,1.0,0.8333333333333334,0.7196144174350377,0,669,1.0,0.07309417040358744,
14,crdt_lww,1.0,1.0,0.6404023470243085,37,821,1.0,0.07062937062937064,
14,leader,0.375,1.0,0.9622799664710813,0,90,1.0,0.32666666666666666,
14,ranked_pairs,1.0,1.0,0.7682313495389774,0,553,1.0,0.13978300180831826,
14,rp_unconstrained,1.0,1.0,0.7682313495389774,0,553,1.0,0.13978300180831826,0.0
