M,trial,rp_ms,rp_unc_ms,lww_ms,vc_ms,merge_thr_ops_s
8,11,0.09330000011686934,0.08270000034826808,0.008099999831756577,0.013800000488117803,85744.9087886286
10,0,0.1452999995308346,0.13250000029074727,0.009000000318337698,0.017700000171316788,68823.1247920814
10,1,0.13930000022810418,0.12650000007852213,0.009100000170292333,0.01990000055229757,71787.50885588636
10,2,0.1494999996793922,0.1768000001902692,0.01869999960035784,0.020899999981338624,66889.63225047049
10,3,0.14989999999670545,0.13419999959296547,0.009599999430065509,0.017300000763498247,66711.1407619732
10,4,0.15069999972183723,0.19840000004478497,0.01629999951546779,0.02320000021427404,66357.00078605207
10,5,0.15749999965919415,0.13969999963592272,0.009399999726156238,0.017899999875226058,63492.06362945058
10,6,0.14290000035543926,0.1281000004382804,0.009000000318337698,0.017899999875226058,69979.00612404977
10,7,0.14100000043981709,0.13630000012199162,0.009200000022246968,0.015900000107649248,70921.985594378
10,8,0.14280000050348463,0.13240000043879263,0.009200000022246968,0.020599999515980016,70028.01095757684
10,9,0.1435999993191217,0.1328999996985658,0.009200000022246968,0.018000000636675395,69637.88333854402
10,10,0.14869999995426042,0.13729999955103267,0.009200000022246968,0.016199999663513154,67249.49564946849
10,11,0.1449999999749707,0.12760000026901253,0.009100000170292333,0.017700000171316788,68965.51725328385
15,0,0.3074999995078542,0.28870000005554175,0.010799999472510535,0.027800000680144876,48780.48788294996
15,1,0.33829999938461697,0.320099999953527,0.011799999811046291,0.03020000076503493,44339.34385836736
15,2,0.331700000060664,0.3117000005659065,0.011899999663000926,0.028700000257231295,45221.585762003844
15,3,0.3341999999975087,0.31860000035521807,0.011399999493733048,0.027600000066740904,44883.30341146564
15,4,0.3403999999136431,0.3243000001020846,0.011199999789823778,0.028399999791872688,44065.80494654932
15,5,0.3500000002532033,0.3455000005487818,0.012299999980314169,0.03530000049067894,42857.14282613837
15,6,0.35200000002078013,0.33260000054724514,0.011399999493733048,0.029999999242136255,42613.63636112069
15,7,0.3360999999131309,0.3223000003345078,0.011800000720540993,0.030000000151630957,44629.57454292452
15,8,0.33660000008239876,0.3316000002087094,0.011300000551273115,0.03240000023652101,44563.279846488535
15,9,0.3333000004204223,0.3148000005239737,0.012299999980314169,0.026499999876250513,45004.50039327664
15,10,0.3585999993447331,0.33570000050531235,0.01249999968422344,0.029299999368959107,41829.33638429833
15,11,0.35399999978835694,0.3347000001667766,0.011799999811046291,0.02809999932651408,42372.88138126533
20,0,0.598599999648286,0.5709999995815451,0.014199999895936344,0.04759999956149841,33411.293036670926
20,1,0.598599999648286,0.5860999999640626,0.013899999430577736,0.03999999989900971,33411.293036670926
20,2,0.5829000001540408,0.5762000000686385,0.014400000509340316,0.03310000010969816,34311.20259858411
20,3,0.5904999998165295,0.570200000765908,0.01340000017080456,0.04360000002634479,33869.60204269953
20,4,0.593299999309238,0.58069999977306,0.01359999987471383,0.038099999983387534,33709.75901447062
20,5,0.5716999994547223,0.5710999994334998,0.013999999282532372,0.03639999977167463,34983.38292649232
20,6,0.6613999994442565,0.6253000001379405,0.022399999579647556,0.04439999975147657,30238.887234359034
20,7,0.5992999995214632,0.6241000000954955,0.015199999324977398,0.034899999263870995,33372.26767223404
20,8,0.6398000004992355,0.5650000002788147,0.016400000276917126,0.03960000049119117,31259.76865331981
20,9,0.570299999708368,0.520900000083202,0.014199999895936344,0.0380000001314329,35069.2618099725
20,10,0.5689999998139683,0.6308000001808978,0.014599999303754885,0.04129999979340937,35149.38489725641
20,11,0.5375999999159831,0.5400000000008731,0.01269999938813271,0.03859999924316071,37202.38095819499
30,0,1.4448000001721084,1.3305000002219458,0.018599999748403206,0.07029999960650457,20764.11959885543
30,1,1.4080999999350752,1.3068000007478986,0.017700000171316788,0.06949999988137279,21305.305021932563
30,2,1.4735999993717996,1.3825000005454058,0.02409999979136046,0.07259999983943999,20358.30619760389
30,3,1.2529000005088164,1.282100000025821,0.01539999993838137,0.05529999998543644,23944.448868877542
30,4,1.3476999993145,1.3103000001137843,0.020599999515980016,0.06630000007135095,22260.14692829215
30,5,1.3666999993802165,1.2633000005735084,0.017499999557912815,0.0563000003239722,21950.68413960977
30,6,1.36819999988802,1.2821999998777756,0.019600000086938962,0.059100000726175494,21926.61891715783
30,7,1.3042000000496046,1.1783999998442596,0.01720000000204891,0.055700000302749686,23002.60696124748
30,8,1.2609000004886184,1.2780999995811726,0.0183000001925393,0.05160000000614673,23792.52913662823
30,9,1.3056999996479135,1.2852999998358428,0.0183000001925393,0.09099999988393392,22976.181364853797
30,10,1.2669999996433035,1.303600000028382,0.017700000171316788,0.0745999996070168,23677.97948575048
30,11,1.3576000001194188,1.4197000000422122,0.022599999283556826,0.05069999951956561,22097.819679847602
50,0,6.343699999888486,4.460899999685353,0.03300000025774352,0.11040000026696362,7881.835521994883
50,1,4.4137000004411675,4.315700000006473,0.026499999876250513,0.10619999920891132,11328.363956544916
50,2,4.360199999609904,4.158099999585829,0.026900000193563756,0.16140000025188783,11467.363883416672
50,3,4.349400000137393,4.437700000380573,0.02499999936844688,0.1125999997384497,11495.838506097518
50,4,4.166800000348303,4.303900000195426,0.02719999974942766,0.10480000037205173,11999.61601128456
50,5,4.054099999848404,4.15060000068479,0.027400000362831634,0.10159999965253519,12333.193557600865
50,6,4.111000000193599,4.327999999986787,0.02769999991869554,0.11069999982282752,12162.490877559074
50,7,4.907200000161538,4.563499999676424,0.03370000013092067,0.10099999963131268,10189.109879025527
50,8,4.385300000649295,4.358900000624999,0.031399999897985253,0.1084000004993868,11401.72850035275
50,9,4.162599999290251,4.353399999672547,0.031200000194075983,0.09210000007442432,12011.723444127543
50,10,3.935500000807224,4.042999999910535,0.02550000044720946,0.11589999940042617,12704.865961058145
50,11,4.101900000023306,4.2051000000356,0.02570000015111873,0.10000000020227162,12189.473170900292
100,0,20.708799999738403,21.484200000486453,0.07139999979699496,0.27460000001156004,4828.86502362586
100,1,22.94400000027963,22.403400000257534,0.05469999996421393,0.265699999545177,4358.4379357906755
100,2,21.147000000382832,23.30190000066068,0.05850000070495298,0.27119999958813423,4728.803139839678
100,3,20.461700000851124,21.80839999982709,0.06440000015572878,0.24620000021968735,4887.179461913742
100,4,22.06460000070365,23.800399999345245,0.05359999977372354,0.24510000002919696,4532.146515088012
100,5,23.279600000023493,23.213100000248232,0.058399999943503644,0.25180000011459924,4295.606453714801
100,6,21.29230000082316,22.47839999927237,0.06029999985912582,0.3857000001517008,4696.533488450473
100,7,20.481599999584432,23.42899999985093,0.04890000036539277,0.2511000002414221,4882.431060172495
100,8,20.600800000465824,23.14440000009199,0.060200000007171184,0.24109999958454864,4854.1804200680945
100,9,20.909300000312214,22.448200000326324,0.05669999973179074,0.2508000006855582,4782.560869972061
100,10,21.534499999688705,21.745699999883072,0.06500000017695129,0.282599999991362,4643.711254101352
100,11,21.60950000052253,23.811999999452382,0.058200000239594374,0.2583999994385522,4627.5943449678125
