conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
low,11,crdt_lww,60,700,0.6654929577464789,
low,11,leader,0,372,0.8362676056338028,
low,11,ranked_pairs,0,388,0.829225352112676,
low,11,rp_unconstrained,0,388,0.829225352112676,0.0
low,12,lww,62,562,0.7381451951321862,
low,12,vc,0,587,0.7536718422156945,
low,12,crdt_pure,0,495,0.7922786403692824,
low,12,crdt_lww,62,562,0.7381451951321862,
low,12,leader,0,218,0.9085186739404112,
low,12,ranked_pairs,0,455,0.8090642047838859,
low,12,rp_unconstrained,0,455,0.8090642047838859,0.0
low,13,lww,32,516,0.7423601316408086,
low,13,vc,0,545,0.7437705688763516,
low,13,crdt_pure,0,458,0.7846732487070992,
low,13,crdt_lww,32,516,0.7423601316408086,
low,13,leader,14,199,0.8998589562764457,
low,13,ranked_pairs,0,371,0.8255759285378468,
low,13,rp_unconstrained,0,371,0.8255759285378468,0.0
low,14,lww,34,523,0.7553798858146684,
low,14,vc,0,608,0.732981993851559,
low,14,crdt_pure,0,413,0.818620992534036,
low,14,crdt_lww,34,523,0.7553798858146684,
low,14,leader,24,303,0.8563899868247694,
low,14,ranked_pairs,0,377,0.8344312692138779,
low,14,rp_unconstrained,0,377,0.8344312692138779,0.0
high,0,lww,19,573,0.7504215851602023,
high,0,vc,0,817,0.6555649241146712,
high,0,crdt_pure,0,587,0.7525295109612142,
high,0,crdt_lww,19,573,0.7504215851602023,
high,0,leader,9,143,0.9359190556492412,
high,0,ranked_pairs,0,437,0.8157672849915683,
high,0,rp_unconstrained,0,437,0.8157672849915683,0.0
high,1,lww,22,950,0.5837259100642398,
high,1,vc,0,1042,0.553747323340471,
high,1,crdt_pure,0,694,0.7027837259100642,
high,1,crdt_lww,22,950,0.5837259100642398,
high,1,leader,7,291,0.8723768736616703,
high,1,ranked_pairs,0,607,0.7400428265524626,
high,1,rp_unconstrained,0,607,0.7400428265524626,0.0
high,2,lww,8,669,0.7186201163757273,
high,2,vc,0,847,0.6479634247714048,
high,2,crdt_pure,0,573,0.7618453865336658,
high,2,crdt_lww,8,669,0.7186201163757273,
high,2,leader,0,75,0.9688279301745636,
high,2,ranked_pairs,0,497,0.7934330839567747,
high,2,rp_unconstrained,0,497,0.7934330839567747,0.0
high,3,lww,6,600,0.6965448172258388,
high,3,vc,0,815,0.5918878317476215,
high,3,crdt_pure,0,534,0.7325988983475213,
high,3,crdt_lww,6,600,0.6965448172258388,
high,3,leader,0,158,0.9208813219829745,
high,3,ranked_pairs,0,418,0.7906860290435653,
high,3,rp_unconstrained,0,418,0.7906860290435653,0.0
high,4,lww,7,575,0.752023860247124,
high,4,vc,0,689,0.7064337452066467,
high,4,crdt_pure,0,571,0.7567106945036216,
high,4,crdt_lww,7,575,0.752023860247124,
high,4,leader,0,65,0.9723050703025139,
high,4,ranked_pairs,0,482,0.7946314443971026,
high,4,rp_unconstrained,0,482,0.7946314443971026,0.0
high,5,lww,26,641,0.710251954821894,
high,5,vc,0,954,0.5855777584708949,
high,5,crdt_pure,0,564,0.7549956559513467,
high,5,crdt_lww,26,641,0.710251954821894,
high,5,leader,9,108,0.9491746307558645,
high,5,ranked_pairs,0,513,0.7771503040834058,
high,5,rp_unconstrained,0,513,0.7771503040834058,0.0
high,6,lww,0,561,0.7541630148992112,
high,6,vc,0,852,0.6266432953549518,
high,6,crdt_pure,0,527,0.7690622261174409,
high,6,crdt_lww,0,561,0.7541630148992112,
high,6,leader,0,116,0.9491673970201577,
high,6,ranked_pairs,0,452,0.8019281332164767,
high,6,rp_unconstrained,0,452,0.8019281332164767,0.0
high,7,lww,46,873,0.5886302596239928,
high,7,vc,0,791,0.6459265890778871,
high,7,crdt_pure,0,670,0.7000895255147717,
high,7,crdt_lww,46,873,0.5886302596239928,
high,7,leader,7,80,0.9610564010743061,
high,7,ranked_pairs,0,530,0.7627573858549687,
high,7,rp_unconstrained,0,530,0.7627573858549687,0.0
high,8,lww,0,769,0.6828865979381443,
high,8,vc,0,877,0.6383505154639175,
high,8,crdt_pure,0,688,0.7162886597938145,
high,8,crdt_lww,0,769,0.6828865979381443,
high,8,leader,0,18,0.9925773195876288,
high,8,ranked_pairs,0,617,0.7455670103092784,
high,8,rp_unconstrained,0,617,0.7455670103092784,0.0
high,9,lww,10,741,0.681509754028838,
high,9,vc,0,820,0.6522476675148431,
high,9,crdt_pure,0,660,0.7201017811704835,
high,9,crdt_lww,10,741,0.681509754028838,
high,9,leader,0,42,0.9821882951653944,
high,9,ranked_pairs,0,556,0.7642069550466497,
high,9,rp_unconstrained,0,556,0.7642069550466497,0.0
high,10,lww,28,795,0.6511233573548114,
high,10,vc,0,836,0.645612547689699,
high,10,crdt_pure,0,654,0.7227638830012717,
high,10,crdt_lww,28,795,0.6511233573548114,
high,10,leader,0,221,0.9063162356930903,
high,10,ranked_pairs,0,513,0.7825349724459517,
high,10,rp_unconstrained,0,513,0.7825349724459517,0.0
high,11,lww,9,756,0.6705426356589148,
high,11,vc,0,896,0.6141257536606374,
high,11,crdt_pure,0,742,0.6804478897502153,
high,11,crdt_lww,9,756,0.6705426356589148,
high,11,leader,0,125,0.946167097329888,
high,11,ranked_pairs,0,602,0.7407407407407407,
high,11,rp_unconstrained,0,602,0.7407407407407407,0.0
high,12,lww,0,725,0.6811785400175902,
high,12,vc,0,777,0.658311345646438,
high,12,crdt_pure,0,692,0.6956904133685136,
high,12,crdt_lww,0,725,0.6811785400175902,
high,12,leader,9,85,0.9586631486367634,
high,12,ranked_pairs,0,563,0.7524186455584873,
high,12,rp_unconstrained,0,563,0.7524186455584873,0.0
high,13,lww,26,716,0.6674137158225011,
high,13,vc,0,640,0.7131331241595698,
high,13,crdt_pure,0,598,0.731958762886598,
high,13,crdt_lww,26,716,0.6674137158225011,
high,13,leader,0,49,0.9780367548184671,
high,13,ranked_pairs,0,491,0.7799193186911699,
high,13,rp_unconstrained,0,491,0.7799193186911699,0.0
high,14,lww,36,730,0.683993399339934,
high,14,vc,0,825,0.6596534653465347,
high,14,crdt_pure,0,654,0.7301980198019802,
high,14,crdt_lww,36,730,0.683993399339934,
high,14,leader,0,213,0.9121287128712872,
high,14,ranked_pairs,0,560,0.768976897689769,
high,14,rp_unconstrained,0,560,0.768976897689769,0.0
